,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.6_H,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+AA_CHEM_mu=0.63_P,GLC+AA_CHEM_mu=0.65_P,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
b0002,3863.2725608686965,5415.35207232459,3032.3378862668465,2319.704873537256,2678.8649707078,2699.9860296967,1472.6478174930999,1655.3308529945002,1736.1868719027,3132.1105721902004,3488.8810754078004,2379.8781228045,4021.7057474852004,4547.327733345,2772.4522011203003,2861.0614646390004,5126.8949789738,5470.0723681743,5651.2138851407,3246.6808518048997,3178.6951242307,3393.6672532137,3412.5586255306,3448.2972493313,3387.9297071703004,3628.8321427544,3476.8087775744,1606.65,1748.6625,770.7578947368422,983.0673076923076,938.1764705882354,916.7347826086957,1364.5916666666667,4072.5759999999996,1347.5669291338586,1478.8682170542636,1990.3167938931297,1772.5113636363635,1662.2348484848487,2951.014869888476,2300.0967741935488,3334.5232974910386,2008.1901408450706,1802.9249146757682,3257.168918918919,1514.1174496644296,1458.4266666666665,2132.3107344632767,461.83289817232367,321.6312056737588,503.47552447552437,289.0366972477064,1283.92,1682.15,2003.18,3023.58,3016.75
b0003,763.5999701918477,878.2044630950819,596.602501382072,425.2064647835814,483.05504216580005,516.4583669945999,295.9107401438,452.1838631882,378.77158897190003,554.7553147368,605.6666574296,417.37504219379997,776.6009196502999,808.6377696475,553.2666580771,531.8596291273001,847.816827485,1003.8662795248,890.6624105842,657.6211874337,593.6190889208,703.7071009350999,644.4516813289,705.6320209633,670.8395436778,758.5278278507001,652.0182838009999,315.3125,199.90625,79.69473684210527,84.63461538461537,137.97285067873304,165.36956521739134,86.85000000000002,336.5320000000001,178.58661417322838,155.2286821705426,263.19083969465646,167.5,87.61363636363636,121.37918215613381,545.3118279569893,420.0931899641577,209.18661971830986,284.82935153583617,240.61486486486487,195.56711409395973,281.2766666666667,234.6694915254237,77.8355091383812,58.137115839243485,102.92773892773891,45.27064220183486,153.6,200.23,239.37,380.01,389.07
b0004,3888.66192496913,5887.4869976327855,2971.677895169909,2156.2078633056744,4480.0565577454,4463.8025540106,3198.9513587865004,3763.2305908295,3487.4840166159,4856.2547149327,5271.3733133654,4028.3053274141,5820.563891885799,6219.8714082530005,4814.709894725301,4556.3515695087,6908.686420045799,7689.8781914828005,7523.2888847198,5182.4492238565,4974.289816188,5380.084979522,5238.6857655932,5407.442318872,5176.7344182933,5723.264868336801,4681.2549638171,3114.8124999999995,3345.0,1574.4736842105265,1645.7596153846152,2115.683257918552,2435.2521739130443,2122.3458333333333,7854.524,3491.157480314961,3921.317829457364,3440.064885496183,4208.011363636363,3462.8674242424236,3259.8736059479547,6280.372759856631,6084.103942652329,5143.855633802817,3257.139931740614,4900.864864864865,2501.8221476510066,4558.78,4035.584745762712,902.7493472584856,888.6595744680852,816.1911421911421,324.33944954128435,3232.54,4049.7,3877.28,4934.6,5554.55
b0006,240.1919162494565,257.28482443540986,339.8866635502702,219.27098900204655,177.4009533148,,162.1210052703,,240.8796205082,219.4827637015,,200.46546939650003,,,180.9051926302,,,,208.56139404290002,160.2582051393,,169.9180226026,,,,183.91410008830002,,66.90625,55.6625,96.2263157894737,139.49038461538458,175.04072398190044,187.61304347826092,152.3125,227.956,204.30708661417324,208.42248062015503,284.9809160305344,226.9507575757576,246.52651515151518,171.56505576208178,191.82078853046596,264.3799283154122,282.8943661971831,184.50853242320815,282.2331081081081,226.00671140939602,204.29,186.15254237288138,236.74673629242818,182.53900709219857,257.5477855477856,175.97935779816513,58.55,72.61,84.15,86.51,98.74
b0008,7435.105989431521,7908.561269770164,5138.0765860263045,2542.354855694791,15678.370385876102,15145.2688196726,13765.0418709063,14517.3746180882,14355.930965816202,16126.043116261399,15830.9044925849,15864.4203962251,16072.6503558217,16228.3836222735,16534.8521750236,16399.3602178334,16283.6874222897,16650.6091302358,16855.694598744198,17354.628730269298,17757.4437215142,17387.6789530524,17533.8002150346,17311.7320339427,17027.3384684774,17102.464391755802,15791.275505162801,4109.1375,4764.7625,1986.484210526316,2345.653846153846,3494.027149321267,2922.6391304347826,2896.629166666666,4488.616,3814.1889763779527,3726.3100775193793,3751.435114503817,4279.015151515151,3454.253787878787,3706.0408921933085,4866.387096774193,4789.362007168459,3742.61971830986,4507.6484641638235,4226.878378378378,6519.295302013423,3082.4833333333336,2120.9661016949153,4804.0678851174935,3020.0543735224587,3685.517482517482,2422.190366972477,6274.28,7069.1,7157.77,7460.43,7615.78
b0009,138.25689166315217,121.96099389245902,126.40610269684684,25.851268592558142,,95.5617441968,111.61646464729999,,,90.2763222361,,,,,,,,,72.72894275670001,58.286855556099994,94.73901759360001,,,,,,,7.13125,3.20625,10.768421052631581,11.783653846153848,6.040723981900452,20.93478260869565,11.225,19.372,26.78346456692913,6.965116279069767,24.354961832061072,16.52272727272727,8.571969696969695,12.55390334572491,3.645161290322581,2.598566308243728,16.616197183098592,4.385665529010239,6.3074324324324325,4.399328859060403,51.57666666666666,54.66101694915254,34.04177545691905,91.3096926713948,42.24009324009325,91.13073394495413,193.55,170.53,166.25,129.76,120.33
b0014,9041.891131613913,16332.108221336392,6675.2749773126125,3194.040715700325,12514.4650675623,12638.8034621028,13364.9110035184,13294.367374825,13680.8980062544,12273.7654779301,11915.580077158898,14443.104648742801,11865.9301778375,11611.9614913853,13895.7791442723,14996.416355290601,12156.9741295893,11793.0833155618,12189.803448614199,15492.5055729103,14995.0624530675,14920.9559623599,14657.283911730901,14611.990882869699,14624.774134011499,13881.1338243733,13603.260743678702,21294.78125,21072.5875,5055.768421052631,5048.326923076923,4991.099547511312,6162.752173913044,5526.479166666668,5295.480000000001,6633.27559055118,7622.562015503874,6655.866412213741,6704.246212121211,6854.844696969697,5759.174721189591,7423.060931899641,6615.358422939067,6551.161971830987,11650.713310580202,6331.20945945946,15095.600671140939,6044.233333333334,6560.322033898306,10079.80678851175,10150.29550827423,13932.477855477857,8187.738532110092,8084.44,7122.46,6975.59,6736.46,6760.19
b0015,914.4150410026087,1287.9318208116395,557.1948317798198,283.6610339826512,528.8076183042,543.5836408741001,548.5066258588,581.1460255586001,519.9524851272,560.5939961979,537.247857876,567.4688929239,557.5725665037,514.770902425,558.3225393873,560.7961788887001,567.9097446306,526.887671504,557.8499453076,621.9054654465,609.73612623,572.0634181397,591.8593001135,549.9281248005001,558.9365207749,531.6721368437001,500.4076807671,406.8375,296.8875,192.74736842105264,216.7451923076923,192.53393665158367,214.85652173913047,242.3625,235.588,297.8149606299213,231.6201550387597,274.8740458015267,280.8825757575757,222.98106060606057,247.9330855018588,237.9103942652329,277.14695340501794,242.39436619718307,287.2559726962457,204.4493243243243,603.3892617449665,249.4333333333333,293.44350282485874,389.8955613577023,345.41843971631204,468.65501165501166,346.0825688073394,476.65,493.97,487.72,411.25,368.96
b0023,9828.88179289337,12904.61948050328,6730.195579714414,5286.595826457908,12378.2656367951,12700.625889295901,12883.702172969899,13665.533199818701,14371.386308713401,13526.4271078952,15223.150200574099,17385.8062575537,16281.8618812358,18028.9622684521,18338.0796470319,20106.7034443438,20196.5378817482,20864.5529798674,21033.5642979351,21719.6310558611,21688.3268528982,23844.5145412745,25964.4249453458,26345.5924244447,27047.7206420236,28361.971282348502,28179.444782834504,5584.65625,5469.36875,4232.51052631579,4466.975961538461,5012.339366515836,4724.2260869565225,5038.195833333333,6371.4879999999985,7189.952755905511,7025.577519379845,7612.5725190839685,7983.719696969697,6571.102272727272,7079.550185873607,9640.867383512545,7944.100358422939,10155.852112676055,8608.300341296928,9120.094594594597,10166.114093959732,10407.29,12532.703389830507,11605.99216710183,13531.295508274228,17400.01864801865,17982.483944954132,11040.77,12129.31,12714.71,15159.09,17037.64
b0025,299.17388523217386,394.6974246354098,239.4722807579279,121.91200917060465,,713.1979516988999,591.8357746831,,,,,,,,,,647.9438078726,,649.5567366576,,,,,,,744.4110373597999,,45.14375,50.4,46.33157894736842,61.19230769230769,51.79638009049774,43.34347826086957,47.30833333333334,56.388000000000005,51.38976377952756,44.93410852713178,55.81297709923663,58.4280303030303,42.66287878787878,67.07434944237919,37.84229390681004,53.58064516129033,56.32746478873239,51.41296928327645,57.38851351351353,59.852348993288594,30.84,33.909604519774014,45.38381201044386,27.751773049645386,49.96270396270396,33.42201834862385,,,,,
